
field_mowing_trash_time | integer | Picking Up Trash Time
field_mowing_trimmed | boolean | Trimmed
field_mowing_who_on_site | entity_reference | Who was on site with this truck → user
field_mowing_why_not | list_string | Why not mowed?
field_mowing_why_not_describe | string_long | Please Describe Why
field_notes_to_office | string | Notes to office
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_tasks_list | BUNDLE: snow_removal | Snow Removal ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_tasks_list_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_completed | boolean | Completed
field_driveways_plowed | entity_reference | Driveways Plowed → property
field_pounds_of_salt | decimal | Pounds of Salt
field_snow_applied_salt | boolean | Applied Salt
field_snow_level | entity_reference | Snow Level → taxonomy_term
field_snow_mag_chloride | boolean | Applied Mag Chloride
field_snow_mag_gallons | decimal | Mag Chloride Gallons
field_snow_other | boolean | Other
field_snow_other_descriptions | string | Add Other Tasks Completed
field_snow_plowed | boolean | Snow Plowed
field_snow_plowed_pushes | entity_reference | How many times(pushes) → taxonomy_term
field_snow_plow_photos | image | Snow Plow Photos
field_snow_shoveled | boolean | Shoveled
field_time_shoveling | integer | Time Shoveling(minutes)
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_tasks_list | BUNDLE: special_mowing | Special Mowing ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_tasks_list_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_additional_work_describe | string_long | Please Describe
field_additional_work_requested | boolean | Additional Work Requested by Owner
field_mowing_assigned_to | entity_reference | Mowing Assigned To → user
field_mowing_cleaned_debri | boolean | Cleaned Up Leaves and Debris
field_mowing_debris_men | list_integer | How many men? (Debris)
field_mowing_debris_minutes | integer | How long did they "Clean Debris"?
field_mowing_debris_time | integer | Cleaning Debris Time
field_mowing_edged | boolean | Edged
field_mowing_edging_men | list_integer | How many men? (edging)
field_mowing_edging_minutes | integer | How long did they "edge"?
field_mowing_edging_time | integer | Edging Time
field_mowing_mowed | boolean | Mowed
field_mowing_other_men | list_integer | How many men? (other)
field_mowing_other_minutes | integer | How long did they do "Other Tasks"?
field_mowing_other_tasks | boolean | Completed Other Tasks
field_mowing_other_time | integer | Other Tasks Time
field_mowing_partial_describe | string_long | Partial Please Describe
field_mowing_partial_mow | boolean | Partial Mow
field_mowing_picked_up_trash | boolean | Picked Up Trash
field_mowing_tasks_completed | string | Enter Tasks & Time Completed
field_mowing_time_spent_cleaning | string | Enter Time Spent Cleaning Up Debris
field_mowing_time_spent_edging | string | Enter Time Spent Edging
field_mowing_time_spent_trash | string | Enter Time Spent Picking Up Trash
field_mowing_trash_men | list_integer | How many men? (trash)
field_mowing_trash_minutes | integer | How long did they "Pick Up Trash"?
field_mowing_trash_time | integer | Picking Up Trash Time
field_mowing_trimmed | boolean | Trimmed
field_mowing_who_on_site | entity_reference | Who on site with this truck → user
field_mowing_why_not | list_string | Why not mowed?
field_mowing_why_not_describe | string_long | Please Describe
field_notes_to_office | string | Notes to office
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_time_clock | BUNDLE: entry | Entry ===
id | integer | ID
